atp_id,sheet,excel_row,sl_test_number,sl_atp_id,test_objective,test_data,steps,expected_result,pass_fail,comments
SP_plus_LP_002,SP + LP,2,,,Splash Page Verification,Splash Page,1. Download and launch app. | 2. Observe splash page.,Splash page will appear,,
SP_plus_LP_003,SP + LP,3,,,Landing Page (Printer Connected),Status Bar,1. Download and Launch App | 2. Ensure the HP 500 is connected | 3. Observe Landing Page," | Landing page should show |  | ""Hamburger Menu (Green Dot) HP Sprocket Panorama (XX:XX) |  | My Design |  | Photobooth |  | Print Photo""",,
SP_plus_LP_004,SP + LP,4,,,Landing Page (Printer Not Connected),Status Bar,1. Download and Launch App | 2. Ensure the HP 500 is not connected | 3. Observe Landing Page," | Landing page should show |  | ""Hamburger Menu     Add Printer + |  | My Design |  | Photobooth |  | Print Photo""",,
SP_plus_LP_005,SP + LP,5,,,Landing Page (Tile Tapped),Tile Opacity Effect,"1. Download and Launch App | 2. Connect the HP 500 | 3. Tap on each tile (my design,photobooth,printphoto) | 4. Observe the last tile tapped each time",The opacity of the tile last tapped will be at 50% each time.,,
SP_plus_LP_006,SP + LP,6,,,Hamburger Menu,Hamburger Menu,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap the Hamburger ,The Hamburger Menu will appear.,,
MD_002,MD,2,,,My Design Page,Landscape Default,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design,The Design page will open and landcsape  | should be the default layout for the canvas,,
MD_003,MD,3,,,My Design Page,Portrait/Landscape,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Tap the orientation,The orientation of the canvas will change. ,,
MD_004,MD,4,,,My Design Page,Length Adjust Bar,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Move the Slider back and forth,The length of the canvas will change.,,
MD_005,MD,5,,,My Design Page,Length Adjust via Canvas,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Move the canvas corners back and forth,The length of the canvas will change.,,
MD_006,MD,6,,,My Design Page,Zoom Canvas Edit Tool,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Pinch and spread the Canvas,The zoom of the canvas will change.,,
MD_007,MD,7,,,My Design Page,Image Import and Placemnent,"1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Add an image | 6. Pinch and Spread, spin around to fit and place","The image will be able to rotate,  | move all around the canvas and resize",,
